id_venda,data,ano,mes,trimestre,dia_semana,categoria,produto,regiao,estado,cidade,vendedor,cliente,quantidade,preco_unitario,desconto_percentual,valor_total,forma_pagamento,custo_unitario,status,custo_total,lucro,margem_lucro
V202300019,2025-07-07,2025,7,3,MONDAY,ESPORTES,HALTERES,SUL,RS,CANOAS,JOSÉ LIMA,JULIANA FERNANDES,4,1196.86,14.41,4097.52,PIX,818.87,CONCLUÍDA,3275.48,822.0400000000004,20.06
V202000020,2022-02-28,2022,2,1,MONDAY,MODA,BOLSA,SUDESTE,MG,UBERLÂNDIA,RICARDO FERNANDES,AMANDA FERNANDES,5,85.0,0.0,425.0,CARTAO CREDITO,52.4,CONCLUÍDA,262.0,163.0,38.35
V202100021,2023-06-03,2023,6,2,SATURDAY,BELEZA,MAQUIAGEM,NORDESTE,BA,CIDADE DESCONHECIDA,FERNANDO ALMEIDA,BEATRIZ RIBEIRO,3,151.45,0.0,454.35,BOLETO,95.68,CONCLUÍDA,287.04,167.31,36.82
V202200022,2023-11-29,2023,11,4,WEDNESDAY,CASA,GELADEIRA,NORDESTE,MA,CIDADE DESCONHECIDA,CARLOS ALVES,JOSÉ RIBEIRO,2,1024.07,28.31,1468.29,CARTAO DEBITO,517.99,CONCLUÍDA,1035.98,432.30999999999995,29.44
V202300023,2020-08-26,2020,8,3,WEDNESDAY,BELEZA,SHAMPOO,NORTE,AC,CIDADE DESCONHECIDA,PATRÍCIA LIMA,JULIANA COSTA,5,193.91,0.0,969.55,DINHEIRO,94.3,CANCELADA,471.5,498.04999999999995,51.37
V202000024,2024-06-17,2024,6,2,MONDAY,ESPORTES,BICICLETA,SUDESTE,MG,BELO HORIZONTE,RICARDO RIBEIRO,ROBERTO ALMEIDA,3,1210.84,0.0,3632.52,PIX,768.87,CONCLUÍDA,2306.61,1325.9099999999999,36.5
V202100025,2021-04-06,2021,4,2,TUESDAY,ESPORTES,BOLA,NORDESTE,AL,CIDADE DESCONHECIDA,CARLOS OLIVEIRA,CARLOS LIMA,1,295.62,0.0,295.62,CARTAO CREDITO,172.31,CONCLUÍDA,172.31,123.31,41.71
V202200026,2022-11-28,2022,11,4,MONDAY,CASA,CAMA,SUDESTE,SP,SOROCABA,PAULO COSTA,AMANDA ALVES,1,1014.27,17.83,833.43,CARTAO CREDITO,633.41,CONCLUÍDA,633.41,200.01999999999998,24.0
V202300027,2022-10-09,2022,10,4,SUNDAY,CASA,SOFÁ,NORDESTE,CE,CIDADE DESCONHECIDA,ANA RIBEIRO,FERNANDO SANTOS,5,1756.67,0.0,8783.35,PIX,1075.38,CONCLUÍDA,5376.900000000001,3406.45,38.78
V202000028,2025-11-20,2025,11,4,THURSDAY,ESPORTES,RAQUETE,SUDESTE,SP,SÃO PAULO,LUCAS MARTINS,PATRÍCIA FERNANDES,2,803.49,33.9,1062.24,CARTAO CREDITO,394.37,CONCLUÍDA,788.74,273.5,25.75
V202100029,2020-01-16,2020,1,1,THURSDAY,MODA,CALÇA JEANS,NORTE,AC,CIDADE DESCONHECIDA,LUCAS COSTA,FERNANDO ALVES,5,158.0,19.19,638.41,CARTAO DEBITO,73.19,CONCLUÍDA,365.95,272.46,42.68
V202200030,2020-04-12,2020,4,2,SUNDAY,ELETRÔNICOS,SMART TV,SUDESTE,SP,SÃO PAULO,ANA LIMA,ROBERTO ALVES,4,2303.68,0.0,9214.72,CARTAO CREDITO,1521.15,CONCLUÍDA,6084.6,3130.119999999999,33.97
V202300031,2021-01-31,2021,1,1,SUNDAY,ESPORTES,HALTERES,NORDESTE,PI,CIDADE DESCONHECIDA,AMANDA GOMES,ROBERTO MARTINS,3,1641.5,15.92,4140.74,CARTAO DEBITO,1076.33,CONCLUÍDA,3228.99,911.75,22.02
V202000032,2021-06-19,2021,6,2,SATURDAY,ESPORTES,RAQUETE,SUDESTE,MG,CONTAGEM,LUCAS GOMES,JULIANA ALVES,1,995.74,0.0,995.74,PIX,433.93,CONCLUÍDA,433.93,561.81,56.42
V202100033,2020-05-18,2020,5,2,MONDAY,ESPORTES,HALTERES,NORDESTE,AL,CIDADE DESCONHECIDA,ROBERTO MARTINS,JULIANA PEREIRA,2,1245.63,0.0,2491.26,DINHEIRO,512.93,CONCLUÍDA,1025.86,1465.4000000000003,58.82
V202200034,2023-11-04,2023,11,4,SATURDAY,ESPORTES,HALTERES,SUDESTE,ES,CIDADE DESCONHECIDA,JOSÉ SILVA,BEATRIZ FERNANDES,4,1326.85,27.78,3833.12,DINHEIRO,760.04,CONCLUÍDA,3040.16,792.96,20.69
V202300035,2023-04-09,2023,4,2,SUNDAY,CASA,SOFÁ,NORDESTE,PE,CIDADE DESCONHECIDA,LUCAS FERNANDES,PAULO FERNANDES,3,2343.68,0.0,7031.04,PIX,1082.76,CONCLUÍDA,3248.2799999999997,3782.76,53.8
V202000036,2024-12-12,2024,12,4,THURSDAY,BELEZA,MAQUIAGEM,NORTE,AC,CIDADE DESCONHECIDA,RICARDO LIMA,JULIANA FERNANDES,2,197.05,30.96,272.09,BOLETO,101.8,CONCLUÍDA,203.6,68.48999999999998,25.17
V202100037,2021-11-11,2021,11,4,THURSDAY,MODA,VESTIDO,SUL,RS,CANOAS,LUCAS RIBEIRO,GUSTAVO FERNANDES,2,249.33,19.96,399.15,CARTAO DEBITO,125.41,CONCLUÍDA,250.82,148.32999999999998,37.16
V202200038,2023-06-23,2023,6,2,FRIDAY,ESPORTES,RAQUETE,NORTE,RR,CIDADE DESCONHECIDA,ANA ALVES,MARIA GOMES,2,1974.55,0.0,3949.1,CARTAO CREDITO,1240.75,CONCLUÍDA,2481.5,1467.6,37.16
V202300039,2023-11-10,2023,11,4,FRIDAY,BELEZA,SHAMPOO,SUDESTE,ES,CIDADE DESCONHECIDA,FERNANDO COSTA,JULIANA OLIVEIRA,1,132.0,31.28,90.71,PIX,58.83,CONCLUÍDA,58.83,31.879999999999995,35.14
V202000040,2023-02-13,2023,2,1,MONDAY,ELETRÔNICOS,SMARTPHONE,NORDESTE,SE,CIDADE DESCONHECIDA,JULIANA SILVA,MARIA OLIVEIRA,2,2885.21,0.0,5770.42,CARTAO DEBITO,1872.03,CONCLUÍDA,3744.06,2026.3600000000001,35.12
V202100041,2022-04-29,2022,4,2,FRIDAY,MODA,CALÇA JEANS,NORDESTE,CE,CIDADE DESCONHECIDA,JULIANA ALVES,LUCAS OLIVEIRA,1,147.75,0.0,147.75,CARTAO CREDITO,88.55,CONCLUÍDA,88.55,59.2,40.07
V202200042,2022-02-03,2022,2,1,THURSDAY,ESPORTES,BOLA,SUL,SC,BLUMENAU,CAMILA ALVES,BEATRIZ OLIVEIRA,3,1417.37,0.0,4252.11,CARTAO CREDITO,631.46,CONCLUÍDA,1894.38,2357.7299999999996,55.45
V202300043,2023-07-16,2023,7,3,SUNDAY,CASA,SOFÁ,SUL,PR,CURITIBA,GUSTAVO RIBEIRO,AMANDA PEREIRA,2,249.92,15.26,423.57,DINHEIRO,125.82,CONCLUÍDA,251.64,171.93,40.59
V202000044,2025-11-17,2025,11,4,MONDAY,MODA,CALÇA JEANS,NORDESTE,MA,CIDADE DESCONHECIDA,JOSÉ SANTOS,JULIANA SANTOS,2,170.61,29.64,240.07,BOLETO,88.14,CONCLUÍDA,176.28,63.78999999999999,26.57
V202100045,2025-12-16,2025,12,4,TUESDAY,ELETRÔNICOS,SMART TV,NORTE,RO,CIDADE DESCONHECIDA,JULIANA GOMES,PAULO ALMEIDA,2,1966.6,16.29,3292.6,CARTAO DEBITO,1076.43,CONCLUÍDA,2152.86,1139.7399999999998,34.62
V202200046,2021-08-21,2021,8,3,SATURDAY,ELETRÔNICOS,SMARTPHONE,NORTE,RR,CIDADE DESCONHECIDA,ANA RODRIGUES,CAMILA FERNANDES,4,2816.59,0.0,11266.36,BOLETO,1655.68,CONCLUÍDA,6622.72,4643.64,41.22
V202300047,2024-02-22,2024,2,1,THURSDAY,MODA,CALÇA JEANS,SUDESTE,RJ,PETRÓPOLIS,BEATRIZ SANTOS,LUCAS ALVES,4,139.78,0.0,559.12,BOLETO,81.22,CONCLUÍDA,324.88,234.24,41.89
V202000048,2021-09-30,2021,9,3,THURSDAY,ESPORTES,BICICLETA,CENTRO-OESTE,MS,CIDADE DESCONHECIDA,MARIA PEREIRA,ANA SOUZA,4,1217.6,7.23,4518.23,PIX,492.51,CONCLUÍDA,1970.04,2548.1899999999996,56.4
V202100049,2022-09-07,2022,9,3,WEDNESDAY,CASA,MESA,NORDESTE,PI,CIDADE DESCONHECIDA,CARLOS COSTA,PAULO OLIVEIRA,5,1598.27,0.0,7991.35,CARTAO DEBITO,920.22,CONCLUÍDA,4601.1,3390.25,42.42
V202200050,2021-02-05,2021,2,1,FRIDAY,MODA,CALÇA JEANS,SUDESTE,SP,SOROCABA,FERNANDO RODRIGUES,CAMILA COSTA,4,285.46,0.0,1141.84,CARTAO DEBITO,127.92,CONCLUÍDA,511.68,630.1599999999999,55.19
V202300051,2024-02-02,2024,2,1,FRIDAY,ESPORTES,BICICLETA,SUL,PR,MARINGÁ,GUSTAVO COSTA,PATRÍCIA PEREIRA,3,1528.89,0.0,4586.67,PIX,1061.06,CONCLUÍDA,3183.18,1403.4900000000002,30.6
V202000052,2023-11-25,2023,11,4,SATURDAY,ESPORTES,ESTEIRA,NORTE,PA,CIDADE DESCONHECIDA,BEATRIZ OLIVEIRA,PAULO GOMES,5,1767.31,30.0,6185.32,CARTAO DEBITO,852.15,CONCLUÍDA,4260.75,1924.5699999999997,31.12
V202100053,2021-07-24,2021,7,3,SATURDAY,CASA,MESA,CENTRO-OESTE,MS,CIDADE DESCONHECIDA,FERNANDO SOUZA,AMANDA PEREIRA,2,2647.6,10.18,4756.25,CARTAO CREDITO,1746.74,CONCLUÍDA,3493.48,1262.77,26.55
V202200054,2024-10-18,2024,10,4,FRIDAY,ESPORTES,HALTERES,SUDESTE,MG,CONTAGEM,LUCAS SILVA,ANA OLIVEIRA,5,961.53,0.0,4807.65,BOLETO,580.33,CONCLUÍDA,2901.65,1905.9999999999995,39.65
V202300055,2025-01-17,2025,1,1,FRIDAY,ESPORTES,HALTERES,SUL,SC,BLUMENAU,PATRÍCIA OLIVEIRA,BEATRIZ LIMA,1,389.34,18.56,317.07,CARTAO CREDITO,162.45,CONCLUÍDA,162.45,154.62,48.77
V202000056,2021-10-18,2021,10,4,MONDAY,CASA,SOFÁ,CENTRO-OESTE,DF,CIDADE DESCONHECIDA,PATRÍCIA MARTINS,LUCAS FERNANDES,3,590.26,0.0,1770.78,CARTAO DEBITO,285.1,CONCLUÍDA,855.3000000000001,915.4799999999999,51.7
V202100057,2021-03-21,2021,3,1,SUNDAY,CASA,CADEIRA,CENTRO-OESTE,DF,CIDADE DESCONHECIDA,PATRÍCIA OLIVEIRA,GUSTAVO RODRIGUES,1,1620.54,0.0,1620.54,CARTAO CREDITO,881.22,CANCELADA,881.22,739.3199999999999,45.62
V202200058,2025-06-04,2025,6,2,WEDNESDAY,ESPORTES,BICICLETA,SUL,SC,BLUMENAU,LUCAS OLIVEIRA,ANA PEREIRA,3,334.58,0.0,1003.74,DINHEIRO,162.54,CONCLUÍDA,487.62,516.12,51.42
V202300059,2020-03-06,2020,3,1,FRIDAY,ESPORTES,ESTEIRA,NORTE,RO,CIDADE DESCONHECIDA,RICARDO GOMES,JULIANA MARTINS,3,1767.57,0.0,5302.71,CARTAO CREDITO,855.5,CONCLUÍDA,2566.5,2736.21,51.6
V202000060,2025-06-12,2025,6,2,THURSDAY,CASA,GELADEIRA,SUL,RS,PORTO ALEGRE,RICARDO MARTINS,JOSÉ RODRIGUES,1,610.05,0.0,610.05,DINHEIRO,340.76,CONCLUÍDA,340.76,269.28999999999996,44.14
V202100061,2020-05-20,2020,5,2,WEDNESDAY,ELETRÔNICOS,FONES DE OUVIDO,CENTRO-OESTE,MS,CIDADE DESCONHECIDA,GUSTAVO MARTINS,PATRÍCIA SANTOS,3,2314.17,0.0,6942.51,DINHEIRO,1173.07,CONCLUÍDA,3519.21,3423.3,49.31
V202200062,2021-09-10,2021,9,3,FRIDAY,MODA,CALÇA JEANS,NORTE,RO,CIDADE DESCONHECIDA,CARLOS OLIVEIRA,RICARDO GOMES,2,195.57,0.0,391.14,BOLETO,103.6,CONCLUÍDA,207.2,183.94,47.03
V202300063,2022-12-15,2022,12,4,THURSDAY,ESPORTES,RAQUETE,NORTE,AM,CIDADE DESCONHECIDA,FERNANDO SANTOS,FERNANDO MARTINS,4,876.41,16.73,2919.16,CARTAO DEBITO,464.58,CONCLUÍDA,1858.32,1060.84,36.34
V202000064,2021-10-20,2021,10,4,WEDNESDAY,ELETRÔNICOS,SMARTPHONE,NORTE,RR,CIDADE DESCONHECIDA,FERNANDO COSTA,BEATRIZ ALMEIDA,2,4018.19,0.0,8036.38,PIX,1862.84,CONCLUÍDA,3725.68,4310.700000000001,53.64
V202100065,2025-06-10,2025,6,2,TUESDAY,ELETRÔNICOS,FONES DE OUVIDO,SUDESTE,RJ,PETRÓPOLIS,CARLOS SILVA,LUCAS SILVA,4,2706.86,0.0,10827.44,CARTAO DEBITO,1301.52,CONCLUÍDA,5206.08,5621.360000000001,51.92
V202200066,2025-02-19,2025,2,1,WEDNESDAY,BELEZA,CREME,CENTRO-OESTE,GO,CIDADE DESCONHECIDA,BEATRIZ MARTINS,JULIANA ALVES,4,120.67,0.0,482.68,PIX,84.21,CONCLUÍDA,336.84,145.84000000000003,30.21
V202300067,2024-06-08,2024,6,2,SATURDAY,CASA,SOFÁ,NORTE,AP,CIDADE DESCONHECIDA,ANA SILVA,JOSÉ SANTOS,4,2290.44,0.0,9161.76,CARTAO CREDITO,1125.19,CONCLUÍDA,4500.76,4661.0,50.87
V202000068,2021-04-29,2021,4,2,THURSDAY,CASA,CADEIRA,NORDESTE,AL,CIDADE DESCONHECIDA,RICARDO SILVA,GUSTAVO ALVES,2,1313.06,0.0,2626.12,BOLETO,735.45,CONCLUÍDA,1470.9,1155.2199999999998,43.99
V202100069,2023-05-26,2023,5,2,FRIDAY,ELETRÔNICOS,SMART TV,NORTE,TO,CIDADE DESCONHECIDA,RICARDO SANTOS,BEATRIZ COSTA,5,3750.85,0.0,18754.25,BOLETO,1735.47,CONCLUÍDA,8677.35,10076.9,53.73
V202200070,2023-05-19,2023,5,2,FRIDAY,ELETRÔNICOS,NOTEBOOK,NORDESTE,PI,CIDADE DESCONHECIDA,LUCAS FERNANDES,GUSTAVO MARTINS,5,1049.44,0.0,5247.2,CARTAO CREDITO,463.03,CONCLUÍDA,2315.1499999999996,2932.05,55.88
V202300071,2024-06-17,2024,6,2,MONDAY,ELETRÔNICOS,SMARTPHONE,SUL,PR,CURITIBA,PATRÍCIA GOMES,PAULO LIMA,4,3225.42,0.0,12901.68,CARTAO CREDITO,2102.36,CONCLUÍDA,8409.44,4492.24,34.82
V202000072,2022-02-14,2022,2,1,MONDAY,BELEZA,MAQUIAGEM,CENTRO-OESTE,GO,CIDADE DESCONHECIDA,JOSÉ GOMES,GUSTAVO COSTA,3,93.95,0.0,281.85,CARTAO CREDITO,54.8,CONCLUÍDA,164.39999999999998,117.45000000000005,41.67
V202100073,2020-03-28,2020,3,1,SATURDAY,MODA,BOLSA,NORDESTE,RN,CIDADE DESCONHECIDA,JOSÉ RODRIGUES,ANA LIMA,2,132.05,0.0,264.1,DINHEIRO,72.75,CONCLUÍDA,145.5,118.60000000000002,44.91
V202200074,2021-05-23,2021,5,2,SUNDAY,MODA,VESTIDO,SUDESTE,SP,SÃO PAULO,AMANDA ALVES,CAMILA SANTOS,1,289.66,0.0,289.66,CARTAO CREDITO,147.99,CONCLUÍDA,147.99,141.67000000000002,48.91
V202300075,2021-12-05,2021,12,4,SUNDAY,ELETRÔNICOS,SMART TV,SUDESTE,MG,UBERLÂNDIA,GUSTAVO PEREIRA,BEATRIZ SANTOS,3,1438.33,28.73,3075.19,CARTAO DEBITO,587.0,CONCLUÍDA,1761.0,1314.19,42.74
V202000076,2022-03-23,2022,3,1,WEDNESDAY,ESPORTES,BICICLETA,NORTE,RR,CIDADE DESCONHECIDA,PATRÍCIA ALVES,BEATRIZ ALMEIDA,3,902.36,0.0,2707.08,BOLETO,504.36,CONCLUÍDA,1513.08,1194.0,44.11
V202100077,2020-03-21,2020,3,1,SATURDAY,MODA,BOLSA,NORDESTE,BA,CIDADE DESCONHECIDA,CARLOS OLIVEIRA,PAULO MARTINS,2,211.38,0.0,422.76,BOLETO,137.57,CONCLUÍDA,275.14,147.62,34.92
V202200078,2023-12-25,2023,12,4,MONDAY,BELEZA,PERFUME,SUDESTE,RJ,RIO DE JANEIRO,MARIA MARTINS,JULIANA FERNANDES,2,188.35,25.31,281.37,CARTAO CREDITO,118.57,CONCLUÍDA,237.14,44.23000000000002,15.72
V202300079,2024-06-19,2024,6,2,WEDNESDAY,BELEZA,SHAMPOO,SUDESTE,ES,CIDADE DESCONHECIDA,CARLOS FERNANDES,PAULO LIMA,2,141.08,0.0,282.16,BOLETO,65.19,CONCLUÍDA,130.38,151.78000000000003,53.79
V202000080,2020-11-25,2020,11,4,WEDNESDAY,BELEZA,SHAMPOO,SUL,SC,BLUMENAU,LUCAS OLIVEIRA,LUCAS SOUZA,4,187.99,16.51,627.78,PIX,96.45,CONCLUÍDA,385.8,241.97999999999996,38.55
V202100081,2024-09-02,2024,9,3,MONDAY,CASA,CAMA,NORTE,RO,CIDADE DESCONHECIDA,ROBERTO OLIVEIRA,BEATRIZ SILVA,3,2061.68,0.0,6185.04,PIX,841.47,CONCLUÍDA,2524.41,3660.63,59.19
V202200082,2023-08-01,2023,8,3,TUESDAY,MODA,CALÇA JEANS,NORDESTE,RN,CIDADE DESCONHECIDA,ANA SANTOS,AMANDA SANTOS,3,100.54,0.0,301.62,BOLETO,64.31,CONCLUÍDA,192.93,108.69,36.04
V202300083,2024-10-08,2024,10,4,TUESDAY,BELEZA,PERFUME,SUDESTE,RJ,NITERÓI,BEATRIZ FERNANDES,LUCAS LIMA,2,131.14,0.0,262.28,PIX,54.42,CONCLUÍDA,108.84,153.43999999999997,58.5
V202000084,2020-02-08,2020,2,1,SATURDAY,MODA,CALÇA JEANS,NORDESTE,RN,CIDADE DESCONHECIDA,JOSÉ COSTA,PAULO GOMES,4,250.08,0.0,1000.32,CARTAO DEBITO,113.05,CONCLUÍDA,452.2,548.1200000000001,54.79
V202100085,2024-01-14,2024,1,1,SUNDAY,CASA,SOFÁ,SUL,RS,CACHOEIRINHA,JOSÉ SANTOS,RICARDO COSTA,3,2898.72,9.0,7913.33,CARTAO CREDITO,1472.54,CANCELADA,4417.62,3495.71,44.17
V202200086,2022-04-06,2022,4,2,WEDNESDAY,CASA,CAMA,CENTRO-OESTE,MS,CIDADE DESCONHECIDA,ROBERTO GOMES,ANA RODRIGUES,4,2268.08,0.0,9072.32,PIX,1391.17,CONCLUÍDA,5564.68,3507.6399999999994,38.66
V202300087,2024-11-28,2024,11,4,THURSDAY,MODA,TÊNIS,NORTE,TO,CIDADE DESCONHECIDA,GUSTAVO COSTA,ANA COSTA,3,259.35,29.09,551.69,BOLETO,170.22,CONCLUÍDA,510.65999999999997,41.030000000000086,7.44
V202000088,2022-03-28,2022,3,1,MONDAY,CASA,CAMA,NORTE,AP,CIDADE DESCONHECIDA,AMANDA OLIVEIRA,CARLOS FERNANDES,1,1161.93,0.0,1161.93,PIX,616.16,CONCLUÍDA,616.16,545.7700000000001,46.97
V202100089,2022-06-17,2022,6,2,FRIDAY,CASA,MESA,SUDESTE,MG,UBERLÂNDIA,PATRÍCIA SILVA,CAMILA GOMES,5,1431.34,9.74,6459.99,CARTAO CREDITO,801.55,CONCLUÍDA,4007.75,2452.24,37.96
V202200090,2020-06-18,2020,6,2,THURSDAY,CASA,MESA,NORTE,AM,CIDADE DESCONHECIDA,BEATRIZ GOMES,JULIANA ALMEIDA,2,2521.26,0.0,5042.52,CARTAO DEBITO,1349.92,CONCLUÍDA,2699.84,2342.6800000000003,46.46
V202300091,2022-02-23,2022,2,1,WEDNESDAY,CASA,SOFÁ,SUDESTE,ES,CIDADE DESCONHECIDA,JOSÉ GOMES,AMANDA GOMES,3,2797.73,0.0,8393.19,CARTAO DEBITO,1683.23,CONCLUÍDA,5049.6900000000005,3343.5,39.84
V202000092,2024-06-12,2024,6,2,WEDNESDAY,MODA,CALÇA JEANS,SUDESTE,RJ,PETRÓPOLIS,FERNANDO SOUZA,PAULO COSTA,3,258.45,0.0,775.35,DINHEIRO,121.38,CONCLUÍDA,364.14,411.21000000000004,53.04
V202100093,2024-08-18,2024,8,3,SUNDAY,ESPORTES,BOLA,CENTRO-OESTE,MT,CIDADE DESCONHECIDA,AMANDA ALMEIDA,BEATRIZ FERNANDES,4,1504.38,0.0,6017.52,PIX,778.12,CONCLUÍDA,3112.48,2905.0400000000004,48.28
V202200094,2024-03-26,2024,3,1,TUESDAY,MODA,CALÇA JEANS,NORDESTE,BA,CIDADE DESCONHECIDA,RICARDO SOUZA,AMANDA LIMA,5,180.74,0.0,903.7,PIX,102.06,CONCLUÍDA,510.3,393.40000000000003,43.53
V202300095,2020-03-17,2020,3,1,TUESDAY,BELEZA,MAQUIAGEM,NORDESTE,AL,CIDADE DESCONHECIDA,LUCAS MARTINS,CAMILA ALVES,1,164.77,0.0,164.77,DINHEIRO,74.02,CONCLUÍDA,74.02,90.75000000000001,55.08
V202000096,2020-05-16,2020,5,2,SATURDAY,ESPORTES,ESTEIRA,NORTE,RR,CIDADE DESCONHECIDA,CAMILA FERNANDES,ROBERTO SOUZA,5,957.82,0.0,4789.1,PIX,540.25,CONCLUÍDA,2701.25,2087.8500000000004,43.6
V202100097,2023-06-05,2023,6,2,MONDAY,ELETRÔNICOS,SMART TV,CENTRO-OESTE,GO,CIDADE DESCONHECIDA,CAMILA LIMA,ANA SOUZA,1,829.42,0.0,829.42,CARTAO DEBITO,567.34,CONCLUÍDA,567.34,262.0799999999999,31.6
V202200098,2020-02-17,2020,2,1,MONDAY,ELETRÔNICOS,FONES DE OUVIDO,SUDESTE,RJ,RIO DE JANEIRO,JULIANA SOUZA,RICARDO GOMES,4,3732.37,14.42,12777.09,DINHEIRO,1740.0,CONCLUÍDA,6960.0,5817.09,45.53
